step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,note
206,1776030543.3190513,0.2392,3717,15540,0.084396,-1.026,0.561,1.082,15,0.803,49,0,0,
207,1776030545.327214,0.2392,3717,15540,0.085714,-1.065,0.661,1.123,15,0.854,50,0,0,
208,1776030547.3347476,0.2392,3717,15540,0.087785,-1.25,0.6,1.107,15,0.704,50,0,0,
209,1776030549.34976,0.2397,3725,15540,0.087785,-1.366,0.56,1.1,15,0.621,51,0,8,
210,1776030551.3568428,0.2397,3725,15540,0.088215,-1.488,0.313,1.1,15,0.349,51,0,0,
211,1776030553.3653724,0.2397,3725,15540,0.085924,-1.542,0.195,1.124,15,0.222,52,0,0,
212,1776030555.3727925,0.2397,3725,15540,0.085924,-1.582,0.262,1.113,15,0.288,52,0,0,
213,1776030557.3832214,0.2396,3738,15600,0.087064,-1.553,0.318,1.103,15,0.344,53,0,13,
214,1776030559.3934665,0.2403,3749,15600,0.086318,-1.406,0.376,1.089,15,0.435,53,0,11,
215,1776030561.4002366,0.2403,3749,15600,0.086318,-1.499,0.15,1.103,15,0.191,53,0,0,
216,1776030563.4076467,0.2403,3749,15600,0.084093,-1.733,0.158,1.155,15,0.242,54,0,0,
217,1776030565.4160995,0.2373,3759,15840,0.097317,-1.867,0.318,1.142,15,0.451,54,0,10,
218,1776030567.422985,0.2373,3759,15840,0.105132,-1.843,0.461,1.134,15,0.555,54,0,0,
219,1776030569.4305317,0.2377,3780,15900,0.105132,-1.988,0.448,1.192,15,0.628,54,0,21,
220,1776030571.443192,0.2352,3782,16080,0.107552,-2.087,0.502,1.157,15,0.734,54,0,2,
221,1776030573.4520302,0.2351,3794,16140,0.110215,-2.069,0.695,1.168,15,0.873,54,0,12,
222,1776030575.4598527,0.2351,3794,16140,0.110215,-2.162,0.707,1.165,15,0.939,54,0,0,
223,1776030577.4699488,0.2372,3857,16260,0.112265,-2.158,0.69,1.144,15,0.922,54,0,63,
224,1776030579.4782894,0.2377,3865,16260,0.114306,-2.263,0.581,1.12,15,0.903,54,0,8,
225,1776030581.4858127,0.2377,3865,16260,0.114306,-2.47,0.54,1.158,15,1.018,54,0,0,
226,1776030583.494103,0.2339,3873,16560,0.115679,-2.665,0.501,1.143,15,1.151,54,0,8,
227,1776030585.502244,0.2307,3890,16860,0.118348,-2.774,0.546,1.134,15,1.266,54,0,17,
228,1776030587.5106993,0.2297,3900,16980,0.120227,-2.766,0.533,1.152,15,1.253,54,0,10,
229,1776030589.5205586,0.2297,3900,16980,0.120227,-2.899,0.486,1.15,15,1.346,54,0,0,
230,1776030591.5293343,0.2285,3907,17100,0.123367,-3.038,0.595,1.137,15,1.519,54,0,7,
231,1776030593.5384662,0.2287,3952,17280,0.125604,-3.076,0.731,1.109,15,1.62,54,0,45,
232,1776030595.54576,0.2287,3952,17280,0.125604,-3.032,0.767,1.138,15,1.603,54,0,0,
233,1776030597.55389,0.2288,3953,17280,0.128558,-3.011,0.83,1.128,15,1.622,54,0,1,
234,1776030599.5622404,0.2325,4017,17280,0.131076,-2.866,0.951,1.156,15,1.587,54,0,64,
235,1776030601.5691586,0.2325,4017,17280,0.131076,-2.827,0.978,1.181,15,1.577,54,0,0,
236,1776030603.5796087,0.2343,4048,17280,0.133762,-2.844,0.875,1.152,15,1.519,54,0,31,
237,1776030605.5878732,0.2342,4047,17280,0.190058,-2.801,0.834,1.111,15,1.46,54,0,0,
